_id,Name,Description,Price,S,M,L,XL,main,sub
68a29a0bac367d2624cca4e1,STOPINOL,Stand out in comfort and style with the bold STOPINOL t-shirt-perfect for young trendesetters!,499,true,true,true,false,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349736/1_bbfukp.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/1sub_qi33od.jpg
68a29a0bac367d2624cca4e2,Mens five-sleve,Mens Five Sleve T-shirt zipper type,499,false,true,true,true,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/2_baod27.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/2sub_apckga.jpg
68a29a0bac367d2624cca4e3,1989 vintage mens five-sleve,1989 vintage mens five sleve t-shirt Drop shoulder,499,false,true,true,true,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/3_xhwxbj.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/3sub_i6ac3f.jpg
68a29a0bac367d2624cca4e4,VENCH Blue Graphic T-shirt,"VENCH Blue Graphic T-shirt - Bold red signature logo with all-over VENCH print. Premium cotton , drop-shoulder fit, and designed for a modern streetwear look",499,false,true,true,true,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/4_egoiqx.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/4_egoiqx.jpg
68a29a0bac367d2624cca4e5,Faith Yellow GRaphic Tee ,"Faith Yellow Graphic Tee – Center chest ""FAITH"" print on the front with bold ""WALK BY FAITH"" design on the back. A statement drop-shoulder fit crafted for comfort and inspiration",499,false,true,true,true,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349734/5_qtrthk.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349735/5sub_lhbybe.jpg
68a29a0bac367d2624cca4e6,AMIRI Olive Green Graphic Tee,"AMIRI Olive Green Graphic Tee – Minimal AMIRI logo on the front with bold oversized graphic on the back. Relaxed fit, drop-shoulder style, perfect blend of streetwear and comfort",499,false,true,true,true,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349735/6_cqcccn.jpg,https://res.cloudinary.com/dv9dyxlml/image/upload/v1755349735/6sub_klcboj.jpg
